customer_id,segment_name,recency,frequency,monetary,ticket_count,refund_rate,web_activity,campaign_count
CUST00001,loyal customers,167,6,2955.57,2.0,0.16666666666666666,1,1
CUST00002,regular customers,34,3,1713.1,1.0,0.0,1,1
CUST00003,dormant customers,231,1,649.98,0.0,0.0,1,1
CUST00004,dormant customers,191,1,1604.04,0.0,0.0,1,1
CUST00005,loyal customers,10,6,3910.43,1.0,0.0,1,1
CUST00006,loyal customers,54,6,3987.46,2.0,0.16666666666666666,1,1
CUST00007,regular customers,2,2,1219.9,0.0,0.0,1,1
CUST00008,loyal customers,44,6,3647.9900000000002,1.0,0.0,1,1
CUST00009,regular customers,28,2,803.99,0.0,0.5,1,1
CUST00010,regular customers,8,2,1984.18,0.0,0.0,1,1
CUST00011,regular customers,6,4,2912.49,0.0,0.0,1,1
CUST00012,at-risk customers,110,2,2051.63,1.0,0.0,1,1
CUST00013,regular customers,2,4,2934.52,1.0,0.0,1,1
CUST00014,champions,0,13,9108.63,2.0,0.0,1,1
CUST00015,regular customers,0,5,5805.34,0.0,0.0,1,1
CUST00016,dormant customers,275,1,478.02,1.0,0.0,1,1
CUST00017,dormant customers,346,3,1699.1399999999999,0.0,0.0,1,1
CUST00018,dormant customers,171,1,329.21,0.0,0.0,1,1
CUST00019,regular customers,34,3,2719.02,0.0,0.0,1,1
CUST00020,dormant customers,428,3,4487.950000000001,1.0,0.0,1,1
CUST00021,dormant customers,137,2,1059.3,1.0,0.0,1,1
CUST00022,regular customers,36,2,1332.67,0.0,0.0,1,1
CUST00023,regular customers,41,2,772.04,0.0,0.0,1,1
CUST00024,regular customers,13,2,967.97,0.0,0.0,1,1
CUST00025,loyal customers,225,7,4868.86,3.0,0.0,1,1
CUST00026,regular customers,40,4,4521.43,1.0,0.5,1,1
CUST00027,regular customers,14,2,2666.0,1.0,0.5,1,1
CUST00028,regular customers,3,3,1853.73,1.0,0.0,1,1
CUST00029,champions,11,11,7122.8,0.0,0.0,1,1
CUST00030,loyal customers,15,7,3884.46,2.0,0.0,1,1
CUST00031,at-risk customers,109,1,672.95,0.0,0.0,1,1
CUST00032,regular customers,31,4,2456.0499999999997,0.0,0.0,1,1
CUST00033,loyal customers,14,6,3548.9,2.0,0.3333333333333333,1,1
CUST00034,loyal customers,52,7,4165.39,3.0,0.0,1,1
CUST00035,dormant customers,187,3,1369.71,0.0,0.0,1,1
CUST00036,regular customers,87,4,1737.33,1.0,0.25,1,1
CUST00037,regular customers,8,3,2021.52,0.0,0.0,1,1
CUST00038,loyal customers,10,6,2761.52,1.0,0.0,1,1
CUST00039,regular customers,30,4,2094.09,0.0,0.0,1,1
CUST00040,dormant customers,214,1,634.73,1.0,0.0,1,1
CUST00041,regular customers,114,4,1911.8600000000001,1.0,0.0,1,1
CUST00042,champions,45,10,7919.28,6.0,0.2,1,1
CUST00043,regular customers,11,2,705.3199999999999,0.0,0.0,1,1
CUST00044,regular customers,57,4,3409.6499999999996,1.0,0.0,1,1
CUST00045,dormant customers,156,1,413.75,0.0,0.0,1,1
CUST00046,dormant customers,187,1,489.87,0.0,0.0,1,1
CUST00047,dormant customers,264,1,764.43,0.0,0.0,1,1
CUST00048,regular customers,10,5,2860.14,1.0,0.2,1,1
CUST00049,regular customers,38,2,1172.61,0.0,0.5,1,1
CUST00050,regular customers,55,4,3169.58,1.0,0.25,1,1
CUST00051,high-value but unhappy,270,4,4444.3,2.0,0.0,1,1
CUST00052,at-risk customers,115,3,2807.14,1.0,0.3333333333333333,1,1
CUST00053,loyal customers,9,6,5422.92,2.0,0.0,1,1
CUST00054,regular customers,22,2,1154.37,0.0,0.5,1,1
CUST00055,regular customers,0,4,1707.24,1.0,0.0,1,1
CUST00056,regular customers,52,5,4169.73,1.0,0.0,1,1
CUST00057,dormant customers,196,2,2510.83,0.0,0.0,1,1
CUST00058,regular customers,48,5,3930.75,0.0,0.0,1,1
CUST00059,regular customers,8,5,5050.94,0.0,0.0,1,1
CUST00060,dormant customers,205,1,293.22,0.0,0.0,1,1
CUST00061,regular customers,2,5,2511.7200000000003,1.0,0.0,1,1
CUST00062,regular customers,49,5,3135.08,1.0,0.0,1,1
CUST00063,dormant customers,276,1,397.69,1.0,0.0,1,1
CUST00064,regular customers,26,3,1634.0,0.0,0.0,1,1
CUST00065,regular customers,0,4,3966.91,0.0,0.0,1,1
CUST00066,dormant customers,380,5,4598.95,1.0,0.0,1,1
CUST00067,dormant customers,123,2,1246.44,1.0,0.5,1,1
CUST00068,dormant customers,406,3,2123.66,1.0,0.3333333333333333,1,1
CUST00069,at-risk customers,89,2,874.47,0.0,0.0,1,1
CUST00070,at-risk customers,98,1,542.98,0.0,0.0,1,1
CUST00071,at-risk customers,92,1,2062.5,1.0,0.0,1,1
CUST00072,dormant customers,150,4,2587.02,0.0,0.0,1,1
CUST00073,loyal customers,44,7,6253.77,0.0,0.0,1,1
CUST00074,regular customers,25,5,2884.48,1.0,0.2,1,1
CUST00075,champions,43,11,7714.719999999999,4.0,0.0,1,1
CUST00076,regular customers,0,4,2888.0299999999997,0.0,0.0,1,1
CUST00077,dormant customers,169,1,394.32,0.0,0.0,1,1
CUST00078,dormant customers,199,1,894.45,1.0,1.0,1,1
CUST00079,dormant customers,251,1,619.57,0.0,0.0,1,1
CUST00080,regular customers,7,4,2832.98,0.0,0.0,1,1
CUST00081,loyal customers,40,9,5805.78,3.0,0.2222222222222222,1,1
CUST00082,dormant customers,314,3,1671.25,0.0,0.0,1,1
CUST00083,dormant customers,149,2,806.87,1.0,0.5,1,1
CUST00084,dormant customers,227,1,1273.18,0.0,0.0,1,1
CUST00085,at-risk customers,74,1,1257.8,0.0,0.0,1,1
CUST00086,loyal customers,39,6,3003.66,1.0,0.0,1,1
