customer_id,segment_name,recency,frequency,monetary,ticket_count,refund_rate,web_activity,campaign_count
CUST00001,Regular Customers,167,6,2955.57,2.0,0.16666666666666666,1,1
CUST00002,Regular Customers,34,3,1713.1,1.0,0.0,1,1
CUST00003,Dormant Customers,231,1,649.98,0.0,0.0,1,1
CUST00004,Dormant Customers,191,1,1604.04,0.0,0.0,1,1
CUST00005,Loyal Customers,10,6,3910.43,1.0,0.0,1,1
CUST00006,Loyal Customers,54,6,3987.46,2.0,0.16666666666666666,1,1
CUST00007,Regular Customers,2,2,1219.9,0.0,0.0,1,1
CUST00008,Loyal Customers,44,6,3647.9900000000002,1.0,0.0,1,1
CUST00009,Regular Customers,28,2,803.99,0.0,0.5,1,1
CUST00010,Regular Customers,8,2,1984.18,0.0,0.0,1,1
CUST00011,Loyal Customers,6,4,2912.49,0.0,0.0,1,1
CUST00012,At-Risk Customers,110,2,2051.63,1.0,0.0,1,1
CUST00013,Loyal Customers,2,4,2934.52,1.0,0.0,1,1
CUST00014,Champions,0,13,9108.63,2.0,0.0,1,1
CUST00015,Loyal Customers,0,5,5805.34,0.0,0.0,1,1
CUST00016,Dormant Customers,275,1,478.02,1.0,0.0,1,1
CUST00017,Dormant Customers,346,3,1699.1399999999999,0.0,0.0,1,1
CUST00018,At-Risk Customers,171,1,329.21,0.0,0.0,1,1
CUST00019,Regular Customers,34,3,2719.02,0.0,0.0,1,1
CUST00020,Dormant Customers,428,3,4487.950000000001,1.0,0.0,1,1
CUST00021,At-Risk Customers,137,2,1059.3,1.0,0.0,1,1
CUST00022,Regular Customers,36,2,1332.67,0.0,0.0,1,1
CUST00023,Regular Customers,41,2,772.04,0.0,0.0,1,1
CUST00024,Regular Customers,13,2,967.97,0.0,0.0,1,1
CUST00025,High-Value but Unhappy,225,7,4868.86,3.0,0.0,1,1
CUST00026,Loyal Customers,40,4,4521.43,1.0,0.5,1,1
CUST00027,Regular Customers,14,2,2666.0,1.0,0.5,1,1
CUST00028,Regular Customers,3,3,1853.73,1.0,0.0,1,1
CUST00029,Champions,11,11,7122.8,0.0,0.0,1,1
CUST00030,Loyal Customers,15,7,3884.46,2.0,0.0,1,1
CUST00031,At-Risk Customers,109,1,672.95,0.0,0.0,1,1
CUST00032,Loyal Customers,31,4,2456.0499999999997,0.0,0.0,1,1
CUST00033,Loyal Customers,14,6,3548.9,2.0,0.3333333333333333,1,1
CUST00034,Loyal Customers,52,7,4165.39,3.0,0.0,1,1
CUST00035,Dormant Customers,187,3,1369.71,0.0,0.0,1,1
CUST00036,Regular Customers,87,4,1737.33,1.0,0.25,1,1
CUST00037,Regular Customers,8,3,2021.52,0.0,0.0,1,1
CUST00038,Loyal Customers,10,6,2761.52,1.0,0.0,1,1
CUST00039,Loyal Customers,30,4,2094.09,0.0,0.0,1,1
CUST00040,Dormant Customers,214,1,634.73,1.0,0.0,1,1
CUST00041,Regular Customers,114,4,1911.8600000000001,1.0,0.0,1,1
CUST00042,Loyal Customers,45,10,7919.28,6.0,0.2,1,1
CUST00043,Regular Customers,11,2,705.3199999999999,0.0,0.0,1,1
CUST00044,Regular Customers,57,4,3409.6499999999996,1.0,0.0,1,1
CUST00045,At-Risk Customers,156,1,413.75,0.0,0.0,1,1
CUST00046,Dormant Customers,187,1,489.87,0.0,0.0,1,1
CUST00047,Dormant Customers,264,1,764.43,0.0,0.0,1,1
CUST00048,Loyal Customers,10,5,2860.14,1.0,0.2,1,1
CUST00049,Regular Customers,38,2,1172.61,0.0,0.5,1,1
CUST00050,Loyal Customers,55,4,3169.58,1.0,0.25,1,1
CUST00051,High-Value but Unhappy,270,4,4444.3,2.0,0.0,1,1
CUST00052,At-Risk Customers,115,3,2807.14,1.0,0.3333333333333333,1,1
CUST00053,Champions,9,6,5422.92,2.0,0.0,1,1
CUST00054,Regular Customers,22,2,1154.37,0.0,0.5,1,1
CUST00055,Loyal Customers,0,4,1707.24,1.0,0.0,1,1
CUST00056,Loyal Customers,52,5,4169.73,1.0,0.0,1,1
CUST00057,Dormant Customers,196,2,2510.83,0.0,0.0,1,1
CUST00058,Loyal Customers,48,5,3930.75,0.0,0.0,1,1
CUST00059,Loyal Customers,8,5,5050.94,0.0,0.0,1,1
CUST00060,Dormant Customers,205,1,293.22,0.0,0.0,1,1
